,GameId
0,4033708995
1,4033608190
2,4033602834
3,4033470855
4,4032768707
5,4032708894
6,4032545592
7,4032517809
8,4032438620
9,4032429604
10,4032379600
11,4032372128
12,4032350640
13,4028158695
14,4028135029
15,4028068256
16,4028083493
17,4027919350
18,4026632296
19,4026600786
20,4025675824
21,4025655659
22,4023512942
23,4023494244
24,4023444016
25,4021012324
26,4020899692
27,4020857226
28,4020820685
29,4020120450
30,4020102920
31,4020052018
32,4019994210
33,4019945785
34,4019906898
35,4019371662
36,4019323606
37,4019277955
38,4019210004
39,4019212103
40,4019147649
41,4019129905
42,4019095004
43,4019042739
44,4019020983
45,4018941038
46,4017961521
47,4017869702
48,4017838331
49,4017850839
50,4017763642
51,4017748937
52,4017722398
53,4017674653
54,4017617775
55,4017555282
56,4017476356
57,4017413451
58,4017404798
59,4017317080
60,4015229445
61,4015202750
62,4015156634
63,4014382093
64,4014311538
65,4012742627
66,4012674276
67,4012183663
68,4012077495
69,4012050394
70,4011021027
71,4010974152
72,4007718605
73,4007707964
74,4007671895
75,4007581113
76,4007522405
77,4007475591
78,4006121929
79,4006010338
80,4005990946
81,4005643430
82,4005565809
83,4005479370
84,4005454573
85,4005409655
86,4004797422
87,4004810949
88,4004740921
89,4004667843
90,4004638738
91,4004488380
92,4004417587
93,4004431683
94,4004280399
95,4004246513
96,4004271162
97,4004226539
98,4003967796
99,4003937250
100,4033608190
101,4033602834
102,4033491996
103,4033365250
104,4032966654
105,4032953247
106,4032920688
107,4032768707
108,4032708894
109,4032579090
110,4032379466
111,4031798288
112,4031647490
113,4031591618
114,4031485415
115,4031433684
116,4031248532
117,4031262713
118,4030010689
119,4029952912
120,4029523203
121,4029453240
122,4029299038
123,4029263891
124,4029228378
125,4029220796
126,4029195729
127,4029142295
128,4029095216
129,4028338245
130,4028289948
131,4027999185
132,4027991146
133,4027898239
134,4027522875
135,4027449107
136,4027366607
137,4027250761
138,4027100467
139,4026683719
140,4026644207
141,4026602798
142,4026482609
143,4026420159
144,4026343911
145,4026163647
146,4026089844
147,4026103596
148,4026055465
149,4026015094
150,4025929134
151,4025793552
152,4025675824
153,4025655659
154,4025044988
155,4024978679
156,4024938672
157,4024862806
158,4024754739
159,4024132144
160,4023512942
161,4023412754
162,4022702563
163,4022676988
164,4022631966
165,4022417439
166,4022395476
167,4022311387
168,4022206742
169,4021409217
170,4021404664
171,4021267541
172,4021157185
173,4021085541
174,4021010489
175,4020209006
176,4020080204
177,4020055547
178,4019947311
179,4019897187
180,4019868500
181,4019817052
182,4019801101
183,4019764858
184,4019277580
185,4019200272
186,4019213627
187,4019164057
188,4019020983
189,4018941038
190,4018616065
191,4018458324
192,4018309970
193,4018277662
194,4018258783
195,4018008889
196,4018001385
197,4017915049
198,4017871427
199,4017811594
200,4033708995
201,4033608190
202,4033602834
203,4032372128
204,4032316185
205,4032247571
206,4032227372
207,4032111989
208,4032016505
209,4031994686
210,4032021676
211,4031732676
212,4031676328
213,4031627108
214,4026896573
215,4026784157
216,4026229009
217,4026235514
218,4024798293
219,4024802025
220,4024760469
221,4024208925
222,4018149960
223,4017413451
224,4017404798
225,4017177204
226,4016772293
227,4016722062
228,4016580630
229,4016514468
230,4016467555
231,4014311538
232,4010295191
233,4009627868
234,4009601308
235,4009536736
236,4009316407
237,4009320972
238,4009258495
239,4008973503
240,4008896068
241,4008751923
242,4004797422
243,4004810949
244,4004740921
245,4004547844
246,4004321742
247,4004266641
248,4003897437
249,4003309565
250,4003313240
251,4002630385
252,4002632487
253,4001557169
254,4001519050
255,4001480968
256,4001382004
257,4000826009
258,4000789503
259,4000196538
260,4000121484
261,4000083482
262,4000024268
263,3999829012
264,3999835215
265,3999520558
266,3999396707
267,3999316810
268,3999297389
269,3999085321
270,3999072305
271,3998656975
272,3998636377
273,3998584185
274,3998278576
275,3998259636
276,3998235439
277,3998230616
278,3997975434
279,3997941468
280,3997903226
281,3997811213
282,3997737009
283,3997637268
284,3997634202
285,3997327884
286,3997303191
287,3997115001
288,3997102578
289,3997037359
290,3996989612
291,3996972993
292,3996843195
293,3996774512
294,3996761239
295,3996743084
296,3996740916
297,3996707874
298,3996540658
299,3996455212
